url,ticket,score
tensorflow/tensorflow/commit/a4e401da71458d253b05e41f28637b65baf64be4,53967,0.7353572912256475
tensorflow/tensorflow/commit/f19be71717c497723ba0cea0379e84f061a75e01,29058,0.6606411278138377
tensorflow/tensorflow/commit/6364463d6f5b6254cac3d6aedf999b6a96225038,53976,0.6658181321020279
tensorflow/tensorflow/commit/6c0b2b70eeee588591680f5b7d5d38175fd7cdf6,53971,0.9018434961933949
tensorflow/tensorflow/commit/14fea662350e7c26eb5fe1be2ac31704e5682ee6,55126,0.8558756015817249
tensorflow/tensorflow/commit/c2b31ff2d3151acb230edc3f5b1832d2c713a9e0,53977,0.9621886255390135
tensorflow/tensorflow/commit/97282c6d0d34476b6ba033f961590b783fa184cd,53984,0.910334689245407
tensorflow/tensorflow/commit/1b54cadd19391b60b6fcccd8d076426f7221d5e8,16707,0.6446833722882773
tensorflow/tensorflow/commit/e952a89b7026b98fe8cbe626514a93ed68b7c510,49069,0.6795094490513851
tensorflow/tensorflow/commit/a68f68061e263a88321c104a6c911fe5598050a8,17988,0.5830352615198893
tensorflow/tensorflow/commit/b51b82fe65ebace4475e3c54eb089c18a4403f1c,28456,0.6448511357835498
tensorflow/tensorflow/commit/8a513cec4bec15961fbfdedcaa5376522980455c,53989,0.7159548198330974
tensorflow/tensorflow/commit/5b491cd5e41ad63735161cec9c2a568172c8b6a3,53987,0.9230852285314405
tensorflow/tensorflow/commit/cb164786dc891ea11d3a900e90367c339305dc7b,53991,0.8994590670240572
tensorflow/tensorflow/commit/ef1d027be116f25e25bb94a60da491c2cf55bd0b,53997,0.9241215067027059
tensorflow/tensorflow/commit/0657c83d08845cc434175934c642299de2c0f042,53993,0.9497009439685888
tensorflow/tensorflow/commit/fcd18ce3101f245b083b30655c27b239dc72221e,54089,0.8933155481828889
tensorflow/tensorflow/commit/b9bd6cfd1c50e6807846af9a86f9b83cafc9c8ae,54089,0.8933155481828889
tensorflow/tensorflow/commit/4f38b1ac8e42727e18a2f0bde06d3bee8e77b250,54008,0.9098202802466343
tensorflow/tensorflow/commit/c79ccba517dbb1a0ccb9b01ee3bd2a63748b60dd,54010,0.9127357486112125
tensorflow/tensorflow/commit/92dba16749fae36c246bec3f9ba474d9ddeb7662,54054,0.9371934157347255
tensorflow/tensorflow/commit/1361fb7e29449629e1df94d44e0427ebec8c83c7,54014,0.7240724260596929
tensorflow/tensorflow/commit/1fb27733f943295d874417630edd3b38b34ce082,54020,1.0000000000000002
tensorflow/tensorflow/commit/240655511cd3e701155f944a972db71b6c0b1bb6,54017,0.9157932013968824
tensorflow/tensorflow/commit/ebc1a2ffe5a7573d905e99bd0ee3568ee07c12c1,54096,0.7415238502866264
tensorflow/tensorflow/commit/c2426bba00a01de6913738df8fa78e0215fcce02,54102,0.968725538616109
tensorflow/tensorflow/commit/a7c02f1a9bbc35473969618a09ee5f9f5d3e52d9,54028,0.9223561821746631
tensorflow/tensorflow/commit/e746adbfcfee15e9cfdb391ff746c765b99bdf9b,54031,0.8586492290750676
tensorflow/tensorflow/commit/ab51e5b813573dc9f51efa335aebcf2994125ee9,54037,0.9531600220560447
tensorflow/tensorflow/commit/3d89911481ba6ebe8c88c1c0b595412121e6c645,54043,0.8446536525307252
tensorflow/tensorflow/commit/dcc21c7bc972b10b6fb95c2fb0f4ab5a59680ec2,54040,0.8745846232246774
tensorflow/tensorflow/commit/0aaaae6eca5a7175a193696383f582f53adab23f,54051,0.7965610411814128
tensorflow/tensorflow/commit/6b5adc0877de832b2a7c189532dbbbc64622eeb6,54103,0.9786547577594289
tensorflow/tensorflow/commit/045deec1cbdebb27d817008ad5df94d96a08b1bf,54054,1.0
tensorflow/tensorflow/commit/0a365c029e437be0349c31f8d4c9926b69fa3fa1,54057,0.8807810175935661
